request_id,primary_port,vlan_id,device_id
0,0,1,2
0,0,4003,1
0,1,1,2
0,1,4003,1
1,0,2,0
1,0,4004,2
1,1,2,0
1,1,4004,2
2,0,2,2
2,0,4004,4
2,1,2,2
2,1,4004,4
3,1,1,1
3,1,4002,3
4,0,2,4
4,0,4005,0
4,1,2,4
4,1,4005,0
5,0,3,0
5,0,4005,1
5,1,3,0
5,1,4005,1
6,0,3,1
6,0,4005,4
6,1,3,1
6,1,4005,4
7,1,1,3
7,1,4002,4
8,0,3,4
8,0,4006,0
8,1,3,4
8,1,4006,0
9,1,1,4
9,1,4004,3
10,1,2,3
10,1,4005,3
11,1,3,3
11,1,4006,1
12,1,4,0
12,1,4006,2
13,0,4,1
13,0,4007,0
13,1,4,1
13,1,4007,0
14,0,4,2
14,0,4007,1
14,1,4,2
14,1,4007,1
15,0,4,4
15,0,4007,2
15,1,4,4
15,1,4007,2
16,1,4,3
16,1,4006,3
17,0,5,1
17,0,4007,4
17,1,5,1
17,1,4007,4
18,1,5,0
18,1,4007,3
19,1,5,3
19,1,4008,0
20,0,5,4
20,0,4008,1
20,1,5,4
20,1,4008,1
21,0,6,0
21,0,4008,2
21,1,6,0
21,1,4008,2
22,0,6,1
22,0,4009,0
22,1,6,1
22,1,4009,0
23,1,6,2
23,1,4008,3
24,1,6,3
24,1,4008,4
25,0,7,2
25,0,4009,1
25,1,7,2
25,1,4009,1
26,0,7,4
26,0,4010,1
26,1,7,4
26,1,4010,1
27,0,8,0
27,0,4010,2
27,1,8,0
27,1,4010,2
28,0,8,1
28,0,4011,2
28,1,8,1
28,1,4011,2
29,1,6,4
29,1,4009,2
30,0,8,2
30,0,4012,1
30,1,8,2
30,1,4012,1
31,1,7,1
31,1,4009,3
32,1,7,3
32,1,4009,4
33,0,9,0
33,0,4012,2
33,1,9,0
33,1,4012,2
34,0,9,4
34,0,4013,4
34,1,9,4
34,1,4013,4
35,1,8,3
35,1,4010,4
36,0,10,0
36,0,4014,0
36,1,10,0
36,1,4014,0
37,1,9,3
37,1,4011,0
38,1,10,2
38,1,4011,1
39,1,10,3
39,1,4011,3
40,1,10,4
40,1,4011,4
41,0,11,0
41,0,4014,4
41,1,11,0
41,1,4014,4
42,0,11,2
42,0,4015,0
42,1,11,2
42,1,4015,0
43,0,12,2
43,0,4015,2
43,1,12,2
43,1,4015,2
44,0,13,0
44,0,4015,4
44,1,13,0
44,1,4015,4
45,0,13,1
45,0,4016,0
45,1,13,1
45,1,4016,0
46,1,11,3
46,1,4012,0
47,1,12,1
47,1,4012,4
48,0,14,0
48,0,4016,1
48,1,14,0
48,1,4016,1
49,1,12,3
49,1,4013,0
50,1,14,1
50,1,4013,1
51,1,14,3
51,1,4013,2
52,0,14,4
52,0,4016,2
52,1,14,4
52,1,4016,2
53,0,15,0
53,0,4016,4
53,1,15,0
53,1,4016,4
54,1,15,3
54,1,4013,3
55,0,16,0
55,0,4017,1
55,1,16,0
55,1,4017,1
56,0,16,2
56,0,4017,2
56,1,16,2
56,1,4017,2
57,1,16,3
57,1,4014,1
58,1,16,4
58,1,4014,2
59,1,17,1
59,1,4014,3
60,0,19,1
60,0,4017,4
60,1,19,1
60,1,4017,4
61,0,19,2
61,0,4018,1
61,1,19,2
61,1,4018,1
62,0,20,0
62,0,4019,4
62,1,20,0
62,1,4019,4
63,0,20,2
63,0,4020,2
63,1,20,2
63,1,4020,2
64,1,17,3
64,1,4015,3
65,1,18,0
65,1,4016,3
66,1,18,3
66,1,4017,3
67,0,20,4
67,0,4020,4
67,1,20,4
67,1,4020,4
68,0,21,4
68,0,4021,0
68,1,21,4
68,1,4021,0
69,1,18,4
69,1,4018,0
70,0,22,0
70,0,4021,1
70,1,22,0
70,1,4021,1
71,0,22,2
71,0,4021,4
71,1,22,2
71,1,4021,4
72,1,19,3
72,1,4018,3
73,1,19,4
73,1,4018,4
74,1,20,1
74,1,4019,0
75,1,21,1
75,1,4019,2
76,1,21,3
76,1,4019,3
77,0,23,1
77,0,4022,4
77,1,23,1
77,1,4022,4
78,0,23,2
78,0,4023,4
78,1,23,2
78,1,4023,4
79,1,22,4
79,1,4020,3
80,0,24,0
80,0,4024,1
80,1,24,0
80,1,4024,1
81,1,23,0
81,1,4021,2
82,1,23,3
82,1,4021,3
83,0,24,1
83,0,4024,4
83,1,24,1
83,1,4024,4
84,0,25,1
84,0,4025,1
84,1,25,1
84,1,4025,1
85,0,25,4
85,0,4025,4
85,1,25,4
85,1,4025,4
86,1,23,4
86,1,4022,3
87,0,26,2
87,0,4026,0
87,1,26,2
87,1,4026,0
88,0,27,1
88,0,4026,1
88,1,27,1
88,1,4026,1
89,0,27,4
89,0,4026,4
89,1,27,4
89,1,4026,4
90,0,28,0
90,0,4027,0
90,1,28,0
90,1,4027,0
91,0,28,4
91,0,4028,4
91,1,28,4
91,1,4028,4
92,1,24,2
92,1,4023,0
93,0,29,1
93,0,4029,0
93,1,29,1
93,1,4029,0
94,1,24,3
94,1,4024,3
95,1,24,4
95,1,4025,0
96,0,29,4
96,0,4029,1
96,1,29,4
96,1,4029,1
97,0,30,0
97,0,4029,4
97,1,30,0
97,1,4029,4
98,1,25,3
98,1,4025,3
99,1,26,3
99,1,4026,3
100,1,27,0
100,1,4027,1
101,0,30,1
101,0,4030,0
101,1,30,1
101,1,4030,0
102,0,31,2
102,0,4030,1
102,1,31,2
102,1,4030,1
103,0,32,0
103,0,4030,4
103,1,32,0
103,1,4030,4
104,1,27,3
104,1,4027,4
105,1,28,2
105,1,4028,0
106,1,28,3
106,1,4028,1
107,1,29,0
107,1,4028,3
108,0,32,1
108,0,4031,0
108,1,32,1
108,1,4031,0
109,1,29,3
109,1,4029,2
110,1,30,2
110,1,4029,3
111,0,32,2
111,0,4031,2
111,1,32,2
111,1,4031,2
112,1,30,3
112,1,4030,3
113,1,31,3
113,1,4031,3
114,1,31,4
114,1,4031,4
115,1,32,4
115,1,4032,0
116,0,33,1
116,0,4032,1
116,1,33,1
116,1,4032,1
117,0,33,4
117,0,4035,2
117,1,33,4
117,1,4035,2
118,1,33,0
118,1,4032,2
119,1,33,3
119,1,4033,0
120,1,34,0
120,1,4033,3
121,1,34,1
121,1,4033,4
122,1,34,2
122,1,4034,0
123,1,34,4
123,1,4034,1
124,1,35,0
124,1,4034,2
125,1,35,1
125,1,4034,3
126,1,35,2
126,1,4035,1
127,0,35,4
127,0,4035,4
127,1,35,4
127,1,4035,4
128,1,35,3
128,1,4036,0
129,1,36,0
129,1,4036,1
130,0,36,2
130,0,4036,4
130,1,36,2
130,1,4036,4
131,0,37,0
131,0,4038,1
131,1,37,0
131,1,4038,1
132,1,36,3
132,1,4036,3
133,1,37,3
133,1,4037,3
134,1,38,0
134,1,4038,0
135,1,38,2
135,1,4039,0
136,1,38,4
136,1,4039,1
137,0,39,0
137,0,4039,2
137,1,39,0
137,1,4039,2
138,1,39,1
138,1,4039,4
139,1,39,3
139,1,4040,0
140,1,39,4
140,1,4040,2
141,1,40,0
141,1,4040,3
142,1,40,2
142,1,4040,4
143,0,41,0
143,0,4041,4
143,1,41,0
143,1,4041,4
144,0,41,2
144,0,4042,0
144,1,41,2
144,1,4042,0
145,0,41,4
145,0,4042,1
145,1,41,4
145,1,4042,1
146,1,40,3
146,1,4041,0
147,0,42,2
147,0,4042,2
147,1,42,2
147,1,4042,2
148,1,42,0
148,1,4041,3
149,1,42,4
149,1,4042,3
150,0,43,0
150,0,4042,4
150,1,43,0
150,1,4042,4
151,0,43,1
151,0,4043,0
151,1,43,1
151,1,4043,0
152,1,43,3
152,1,4043,1
153,0,43,4
153,0,4044,0
153,1,43,4
153,1,4044,0
154,0,44,0
154,0,4044,2
154,1,44,0
154,1,4044,2
155,0,44,2
155,0,4044,4
155,1,44,2
155,1,4044,4
156,0,45,2
156,0,4045,2
156,1,45,2
156,1,4045,2
157,1,44,1
157,1,4043,2
158,1,44,3
158,1,4043,3
159,0,45,4
159,0,4045,4
159,1,45,4
159,1,4045,4
160,1,44,4
160,1,4043,4
161,1,45,0
161,1,4044,1
162,1,45,3
162,1,4045,0
163,0,46,0
163,0,4047,2
163,1,46,0
163,1,4047,2
164,1,46,1
164,1,4045,1
165,1,46,3
165,1,4045,3
166,0,47,0
166,0,4047,4
166,1,47,0
166,1,4047,4
167,1,46,4
167,1,4046,0
168,1,47,1
168,1,4046,1
169,0,47,2
169,0,4048,1
169,1,47,2
169,1,4048,1
170,1,47,3
170,1,4046,2
171,1,47,4
171,1,4047,0
172,0,48,4
172,0,4048,2
172,1,48,4
172,1,4048,2
173,0,49,1
173,0,4048,4
173,1,49,1
173,1,4048,4
174,1,48,0
174,1,4047,1
175,1,49,0
175,1,4047,3
176,1,49,2
176,1,4048,0
177,0,50,0
177,0,4049,0
177,1,50,0
177,1,4049,0
178,1,49,3
178,1,4048,3
179,0,50,1
179,0,4049,2
179,1,50,1
179,1,4049,2
180,0,50,2
180,0,4049,4
180,1,50,2
180,1,4049,4
181,0,51,0
181,0,4050,0
181,1,51,0
181,1,4050,0
182,1,50,3
182,1,4049,3
183,0,51,1
183,0,4050,1
183,1,51,1
183,1,4050,1
184,1,50,4
184,1,4050,2
185,0,51,4
185,0,4051,0
185,1,51,4
185,1,4051,0
186,0,52,0
186,0,4051,1
186,1,52,0
186,1,4051,1
187,0,52,2
187,0,4051,2
187,1,52,2
187,1,4051,2
188,1,52,3
188,1,4050,3
189,0,52,4
189,0,4051,4
189,1,52,4
189,1,4051,4
190,0,53,0
190,0,4052,0
190,1,53,0
190,1,4052,0
191,0,53,1
191,0,4052,1
191,1,53,1
191,1,4052,1
192,0,54,1
192,0,4052,4
192,1,54,1
192,1,4052,4
193,1,53,2
193,1,4051,3
194,0,55,0
194,0,4053,0
194,1,55,0
194,1,4053,0
195,1,53,3
195,1,4052,3
196,0,55,1
196,0,4053,4
196,1,55,1
196,1,4053,4
197,0,55,2
197,0,4054,0
197,1,55,2
197,1,4054,0
198,0,56,0
198,0,4054,4
198,1,56,0
198,1,4054,4
199,1,53,4
199,1,4053,3
200,1,54,3
200,1,4055,1
201,0,56,1
201,0,4055,2
201,1,56,1
201,1,4055,2
202,1,56,3
